session_id,honeypot,previsto,confianca,ip_visto_no_treino
ba3322479bfb,cowrie,brute_force,0.6433,0
65bba42c1075,cowrie,brute_force,0.6433,0
114e63f9b14a,cowrie,brute_force,0.6433,0
9ee9ecdfd732,cowrie,recon,0.3267,0
b82fe0b6f85c,cowrie,brute_force,0.6433,0
1b5961b69741,cowrie,brute_force,0.6433,0
8ded0249ece2,cowrie,recon,0.3267,0
f47415a72cde,cowrie,brute_force,0.6433,0
aa163c71bb92,cowrie,brute_force,0.6433,0
091247857ea1,cowrie,brute_force,0.6433,0
4a498c6eeebb,cowrie,brute_force,0.6433,0
ed754aca86a0,cowrie,brute_force,0.6433,0
e42adbf86995,cowrie,brute_force,0.6433,0
95f9af0dfbfd,cowrie,brute_force,0.6433,0
7a76b497c836,cowrie,brute_force,0.6333,0
b3611338904f,cowrie,brute_force,0.6433,0
7987c4e7393e,cowrie,brute_force,0.6433,0
a038bc34ab94,cowrie,brute_force,0.6433,0
99b06174ea77,cowrie,brute_force,0.6433,0
840d6bac121d,cowrie,brute_force,0.6433,0
c6ae70030978,cowrie,brute_force,0.6433,0
6e0ff347b0d1,cowrie,brute_force,0.6433,0
e40f8e106975,cowrie,brute_force,0.6433,0
ef6e21907a34,cowrie,brute_force,0.6433,0
06b0a473bfd4,cowrie,brute_force,0.6433,0
954b55e690f2,cowrie,brute_force,0.6433,0
5ccd71bceac1,cowrie,brute_force,0.6433,0
dc99f450d17e,cowrie,brute_force,0.6433,0
d6495acd9c45,cowrie,brute_force,0.6433,0
22bda22fb896,cowrie,brute_force,0.6433,0
e9868d1cf6c5,cowrie,brute_force,0.6433,0
209955de7894,cowrie,brute_force,0.6433,0
7be9f87cac72,cowrie,brute_force,0.6333,0
358c58f505a3,cowrie,brute_force,0.6433,0
24f739bf8b53,cowrie,brute_force,0.6433,0
e414a23d1f80,cowrie,brute_force,0.6433,0
3c9880c9f2cf,cowrie,brute_force,0.6433,0
e0e90f2a3216,cowrie,brute_force,0.6333,0
c1d22e2270f2,cowrie,brute_force,0.6433,0
8ceb0d975417,cowrie,brute_force,0.6333,0
2b79b3177795,cowrie,brute_force,0.6433,0
f79996574e26,cowrie,brute_force,0.6433,0
5966f064983e,cowrie,brute_force,0.6433,0
f994b1054868,cowrie,brute_force,0.6433,0
1c2f232454b0,cowrie,brute_force,0.6433,0
4cb8fa3935a7,cowrie,brute_force,0.6433,0
9d987b5bd4f2,cowrie,recon,0.8433,0
d55f125a98ea,cowrie,brute_force,0.6433,0
129b6668f7e8,cowrie,brute_force,0.6433,0
008074206bdf,cowrie,brute_force,0.6433,0
cab230e64c72,cowrie,brute_force,0.6433,0
aa887fefb573,cowrie,brute_force,0.6433,0
04c284bf18cb,cowrie,brute_force,0.6333,0
e5284373b2d4,cowrie,brute_force,0.6433,0
f51a92104de9,cowrie,brute_force,0.6433,0
16ec1e5d0421,cowrie,brute_force,0.6433,0
f3a8f44932d3,cowrie,brute_force,0.6433,0
d1b7ae7bbf54,cowrie,brute_force,0.6433,0
9982d3b07e37,cowrie,brute_force,0.6433,0
42fbe50f863b,cowrie,brute_force,0.6433,0
b350f105c51a,cowrie,recon,0.8433,0
47be4b0e56f6,cowrie,recon,0.8433,0
580939b9a6ff,cowrie,brute_force,0.6433,0
407ec3405d83,cowrie,brute_force,0.6433,0
df2956ff56d2,cowrie,brute_force,0.6333,0
8d102a2d65d2,cowrie,recon,0.8433,0
9a8f384d6736,cowrie,brute_force,0.6433,0
67bdac4152ce,cowrie,brute_force,0.6433,0
906dbe83d2f6,cowrie,brute_force,0.6333,0
168b0ea1d730,cowrie,brute_force,0.6433,0
3006a7b3fe69,cowrie,brute_force,0.6433,0
fdf63dd515fe,cowrie,brute_force,0.6433,0
11e3aa1e8106,cowrie,brute_force,0.6433,0
1481c5ec36fe,cowrie,brute_force,0.6333,0
cdedaddb2d72,cowrie,brute_force,0.6433,0
bbcc4c34a09b,cowrie,brute_force,0.6433,0
92695fc1a0ae,cowrie,brute_force,0.6433,0
afc0ebb3c3b0,cowrie,brute_force,0.6433,0
cbb6cf7c2276,cowrie,brute_force,0.6433,0
ba7bdbd72d79,cowrie,brute_force,0.6433,0
6a2d55acc165,cowrie,brute_force,0.6433,0
1f428fa990e4,cowrie,brute_force,0.6433,0
bbbebdbee3d3,cowrie,brute_force,0.6433,0
c63a0d8364c2,cowrie,brute_force,0.6433,0
9452847278be,cowrie,brute_force,0.6433,0
016d849aca65,cowrie,brute_force,0.6433,0
8adcbea56ceb,cowrie,brute_force,0.6433,0
fd2217116bae,cowrie,brute_force,0.6433,0
cc082c10c284,cowrie,brute_force,0.6433,0
8ea84afe9ab7,cowrie,brute_force,0.6433,0
4afb2c3504e8,cowrie,brute_force,0.6433,0
dcd5f4929737,cowrie,brute_force,0.6433,0
65f81cb6fd7f,cowrie,brute_force,0.6433,0
f6f30bc2d12a,cowrie,brute_force,0.6433,0
c57131888ff0,cowrie,brute_force,0.6433,0
dda41fd9b4d6,cowrie,brute_force,0.6433,0
d260153c0d11,cowrie,brute_force,0.6433,0
a0d3d446135f,cowrie,brute_force,0.6433,0
7cfd5884b327,cowrie,brute_force,0.6433,0
355c539a1d99,cowrie,brute_force,0.6433,0
dc787b97fd60,cowrie,brute_force,0.6433,0
3fa5b157c344,cowrie,brute_force,0.6433,0
65356a14ae25,cowrie,recon,0.8433,0
016f127033f8,cowrie,recon,0.8433,0
3f6bc98ec668,cowrie,brute_force,0.6433,0
f780731d382b,cowrie,brute_force,0.6433,0
00e35e33efdd,cowrie,brute_force,0.6433,0
6874b24f8d68,cowrie,brute_force,0.6433,0
4dba082704d5,cowrie,recon,0.8433,0
0b47f6b97d06,cowrie,brute_force,0.6433,0
4e06644a556b,cowrie,brute_force,0.6433,0
97120040ead6,cowrie,brute_force,0.6433,0
a68f08cd5740,cowrie,brute_force,0.6433,0
d523cdabc6a7,cowrie,brute_force,0.6433,0
1f7202dba87e,cowrie,brute_force,0.47,0
8c936e849ea4,cowrie,brute_force,0.6433,0
8a0b92e79d86,cowrie,recon,0.3933,0
a4d67c7e2552,cowrie,brute_force,0.6433,0
f1403de7c235,cowrie,brute_force,0.6433,0
d219e699999b,cowrie,brute_force,0.6433,0
bea2d0b385b3,cowrie,brute_force,0.6433,0
6d377cd711f4,cowrie,brute_force,0.6433,0
d95ad9d40a14,cowrie,brute_force,0.6433,0
d6accf78b027,cowrie,brute_force,0.47,0
70855ab4e280,cowrie,brute_force,0.6433,0
dc9ae06dbc5e,cowrie,brute_force,0.6433,0
b83bb7aed82a,cowrie,recon,0.8433,0
421e370cd91c,cowrie,brute_force,0.6433,0
7d5e0be65621,cowrie,brute_force,0.6433,0
ce9fd2b832e1,cowrie,brute_force,0.6433,0
7cf89f1f58ca,cowrie,brute_force,0.6433,0
80b60da6b62e,cowrie,brute_force,0.6433,0
1daf54b07b81,cowrie,recon,0.8433,0
319b738685be,cowrie,brute_force,0.6433,0
189.126.217.80-2026-09-06T02:58:51.223029,dionaea,port_scan,0.8367,0
8.209.108.11-2026-09-06T04:33:20.111303,dionaea,service_probe,0.8407,0
151.245.151.79-2026-09-06T07:32:32.456270,dionaea,service_probe,0.8407,1
35.198.217.171-2026-09-06T07:38:51.415349,dionaea,connection_flood,0.6433,0
54.158.153.149-2026-09-06T08:42:28.557807,dionaea,service_probe,0.8407,0
195.20.5.50-2026-09-06T12:07:42.252516,dionaea,service_probe,0.9967,0
190.145.231.14-2026-09-06T15:51:09.333612,dionaea,service_probe,1.0,1
199.45.155.81-2026-09-06T17:04:27.091588,dionaea,service_probe,0.95,0
137.184.47.214-2026-09-06T17:50:54.671816,dionaea,service_probe,0.8407,0
213.209.159.115-2026-09-06T18:32:53.226785,dionaea,credential_bruteforce,1.0,1
198.235.24.162-2026-09-06T18:36:25.527807,dionaea,service_probe,1.0,0
66.132.172.137-2026-09-06T19:53:27.628074,dionaea,service_probe,0.9667,1
34.130.196.68-2026-09-06T21:58:31.339992,dionaea,connection_flood,0.8367,0
185.241.208.93-2026-09-07T01:03:12.474045,dionaea,service_probe,0.8407,0
205.210.31.135-2026-09-07T01:21:42.126351,dionaea,service_probe,0.8407,1
77.90.185.21-2026-09-07T01:32:28.505069,dionaea,credential_bruteforce,0.9267,1
115.224.103.213-2026-09-07T05:30:17.640059,dionaea,connection_flood,0.97,0
77.90.185.21-2026-09-07T09:02:28.507793,dionaea,credential_bruteforce,1.0,1
2.145.94.77-2026-09-07T13:07:08.795457,dionaea,malware_download,0.9767,0
34.18.229.148-2026-09-07T14:53:42.220581,dionaea,service_probe,0.8767,0
77.90.185.21-2026-09-07T16:33:56.333814,dionaea,credential_bruteforce,0.94,1
40.119.28.169-2026-09-07T16:54:36.528924,dionaea,service_probe,0.8407,1
13.58.176.122-2026-09-07T18:52:21.468611,dionaea,service_probe,0.8667,0
45.186.208.123-2026-09-07T19:19:51.863596,dionaea,service_probe,1.0,0
66.132.172.35-2026-09-07T19:30:21.793336,dionaea,port_scan,0.6867,0
115.224.103.213-2026-09-07T20:33:18.283126,dionaea,connection_flood,0.9933,0
205.210.31.158-2026-09-07T20:50:20.993730,dionaea,service_probe,0.8407,0
66.132.172.141-2026-09-07T20:58:00.420531,dionaea,service_probe,0.8407,0
20.29.29.215-2026-09-07T22:40:11.415982,dionaea,service_probe,0.8407,0
18.218.118.203-2026-09-07T23:32:43.002570,dionaea,service_probe,0.8407,1
77.90.185.21-2026-09-08T00:05:33.574022,dionaea,credential_bruteforce,1.0,1
123.88.27.199-2026-09-08T03:31:25.212663,dionaea,credential_bruteforce,0.9633,0
34.52.146.162-2026-09-08T03:33:55.320808,dionaea,service_probe,0.8407,0
47.254.22.110-2026-09-08T04:11:14.279189,dionaea,exploit_attempt,0.7733,0
107.170.47.25-2026-09-08T04:54:38.816979,dionaea,service_probe,0.8407,0
3.131.220.121-2026-09-08T08:28:54.655681,dionaea,service_probe,0.8407,1
194.236.206.140-2026-09-08T11:07:42.592680,dionaea,connection_flood,0.5633,0
192.140.145.238-2026-09-08T12:45:29.137868,dionaea,service_probe,0.64,0
16.112.60.123-2026-09-08T14:12:43.193537,dionaea,connection_flood,0.67,0
3.131.151.173-2026-09-08T15:15:52.964800,dionaea,service_probe,0.8407,0
66.132.172.34-2026-09-08T17:41:24.789197,dionaea,service_probe,0.8407,0
176.192.40.102-2026-09-08T21:07:40.212856,dionaea,service_probe,1.0,0
66.132.195.45-2026-09-08T21:08:20.900302,dionaea,service_probe,0.8407,0
213.209.159.115-2026-09-08T23:09:39.778419,dionaea,credential_bruteforce,1.0,1
66.132.186.196-2026-09-09T02:46:14.707388,dionaea,service_probe,0.8407,1
71.6.239.232-2026-09-09T03:48:26.969271,dionaea,port_scan,0.9133,0
14.176.228.201-2026-09-09T05:46:58.572058,dionaea,connection_flood,0.9933,0
190.6.26.136-2026-09-09T06:19:48.620902,dionaea,credential_bruteforce,0.7233,0
205.210.31.108-2026-09-09T09:15:28.451999,dionaea,service_probe,0.8407,0
185.247.137.208-2026-09-09T12:23:56.347500,dionaea,service_probe,0.8407,0
185.247.137.190-2026-09-09T12:25:03.843073,dionaea,service_probe,0.8407,0
213.209.159.115-2026-09-09T14:12:32.711451,dionaea,credential_bruteforce,1.0,1
66.132.172.187-2026-09-09T18:56:38.352899,dionaea,port_scan,0.6533,1
222.174.163.214-2026-09-09T23:29:53.752631,dionaea,connection_flood,1.0,0
66.132.195.105-2026-09-10T01:35:06.323751,dionaea,service_probe,1.0,0
57.129.123.152-2026-09-10T01:44:36.632770,dionaea,service_probe,0.8407,0
187.45.92.37-2026-09-10T03:41:37.607243,dionaea,service_probe,0.9467,0
213.209.159.115-2026-09-10T05:12:59.746711,dionaea,credential_bruteforce,0.87,1
