session_id,src_ip,first_seen,protocols,connection_count,unique_ports,login_attempt_count,has_download,session_duration_s,label,justificativa,label_revisado,revisor_concorda
real-000000,100.26.4.254,2026-09-04T15:13:32,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000070,111.0.82.129,2026-09-02T02:19:11,mssqld,1,1,1,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000128,118.244.195.241,2026-08-25T07:12:26,mssqld,2,1,2,0,0.836,service_probe,"2 conexao(oes), sem login",,
real-000193,138.197.17.142,2026-09-05T10:17:10,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000253,146.190.231.213,2026-08-26T11:59:22,smbd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000308,151.245.151.169,2026-08-31T01:56:22,mqttd,4,1,0,0,0.773,service_probe,"4 conexao(oes), sem login",,
real-000367,162.35.100.166,2026-08-25T09:21:41,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000424,172.105.224.72,2026-08-23T07:57:09,ftpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000479,178.62.226.71,2026-08-26T23:23:17,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000534,18.97.19.235,2026-08-25T21:34:47,mysqld,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000592,185.247.137.152,2026-08-28T23:57:42,mirrord,2,1,0,0,5.174,service_probe,"2 conexao(oes), sem login",,
real-000646,186.237.107.244,2026-09-02T13:11:28,ftpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000702,193.3.53.2,2026-09-04T04:59:49,mysqld,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000756,195.96.139.168,2026-08-29T00:01:29,mirrord,2,1,0,0,5.176,service_probe,"2 conexao(oes), sem login",,
real-000811,197.31.48.57,2026-09-02T18:39:49,mssqld,1,1,1,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000865,198.235.24.73,2026-08-23T18:46:48,epmapper,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000921,20.38.34.69,2026-09-04T12:34:57,ftpd,2,1,0,0,0.609,service_probe,"2 conexao(oes), sem login",,
real-000975,200.166.5.18,2026-09-01T12:40:44,mssqld,1,1,1,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-001031,205.210.31.251,2026-09-01T20:33:14,smbd,3,1,0,0,0.573,service_probe,"3 conexao(oes), sem login",,
real-001118,216.180.246.20,2026-09-01T07:38:53,epmapper,4,1,0,0,68.229,service_probe,"4 conexao(oes), sem login",,
real-001177,3.130.168.2,2026-08-27T06:58:47,mssqld,4,1,0,0,256.04,service_probe,"4 conexao(oes), sem login",,
real-001232,34.156.17.95,2026-09-04T23:35:29,smbd,32,1,0,0,122.377,service_probe,"32 conexao(oes), sem login",,
real-001286,35.209.250.149,2026-08-25T11:03:54,pptpd,15,1,0,0,16.068,service_probe,"15 conexao(oes), sem login",,
real-001343,41.143.241.243,2026-09-04T00:15:12,mssqld,1,1,1,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-001411,45.186.209.136,2026-08-27T00:18:48,mssqld,1,1,1,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-001471,49.235.114.245,2026-08-28T00:17:04,smbd,2,1,0,0,0.133,service_probe,"2 conexao(oes), sem login",,
real-001527,61.56.193.111,2026-09-02T19:48:37,smbd,2,1,0,0,0.135,service_probe,"2 conexao(oes), sem login",,
real-001581,66.132.172.176,2026-08-26T07:44:04,httpd,8,1,0,0,66.57,service_probe,"8 conexao(oes), sem login",,
real-001638,66.132.195.126,2026-09-03T23:38:09,httpd,8,1,0,0,67.95,service_probe,"8 conexao(oes), sem login",,
real-001693,66.240.236.109,2026-08-31T19:49:05,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-001907,80.82.64.25,2026-08-23T21:49:39,httpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-001965,87.236.176.164,2026-09-03T08:10:20,ftpd,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-002021,91.196.152.141,2026-09-02T05:04:32,epmapper,1,1,0,0,0.0,service_probe,"1 conexao(oes), sem login",,
real-000005,101.51.15.74,2026-08-25T00:01:17,smbd,3106,1,0,0,2514.468,connection_flood,3106 conexoes na sessao,,
